fid,fname,tid,q,Lq,l,Ll,k,Lk,a,La,ktotal,Lktotal,w,Lw,t,Lt,lnvoyage_oper,lnF1tonnage,soil,woil,bone,L,voyage_oper,Ktotal,Q,A,W,rev,K,Kprime,exit,bk,bK,bW,bt,cons,omega
3,"Adams, Calvin C.",1850,-.69581735,-.69581735,2.8649075,2.8649075,5.0106354,5.0106354,2.3025851,2.1972246,12.153888,12.200253,13.966244,13.973796,50,49,0,5.0106354,.0113333342596889,0,0,17.54743003845215,1,189830.6666183472,.4986667037010193,10,1162686.8,.015868029,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-2.3154244
3,"Adams, Calvin C.",1851,-.69581735,-.69581735,2.8649075,2.8649075,5.0106354,5.0106354,2.3978953,2.3025851,12.250927,12.153888,13.958548,13.966244,51,50,0,5.0106354,.0113333342596889,0,0,17.54743003845215,1,209175.0332870483,.4986667037010193,11,1153772,.016729135,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-2.2949169
3,"Adams, Calvin C.",1852,-.69581735,-.69581735,2.8649075,2.8649075,5.0106354,5.0106354,2.4849067,2.3978953,12.285057,12.250927,13.949748,13.958548,52,51,0,5.0106354,.0113333342596889,0,0,17.54743003845215,1,216437.4499206543,.4986667037010193,12,1143664.4,.016269,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-2.2731798
3,"Adams, Calvin C.",1853,-.69581735,-.69581735,2.8649075,2.8649075,5.0106354,5.0106354,2.5649493,2.4849067,12.326688,12.285057,13.941074,13.949748,53,52,0,,.0113333342596889,0,0,17.54743003845215,1,225638.1165618896,.4986667037010193,13,1133787.4,.016400468,150,0,1,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-2.2515686
4,"Adams, Freeman E.",1865,2.3145137,,2.8894293,,4.6728287,,0,,11.31901,,13.891262,,65,64,0,6.1590953,.2300000041723251,0,0,17.9830436706543,1,82372.69993591309,10.11999988555908,1,1078694.3,.32625002,107,473,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,1.1010396
4,"Adams, Freeman E.",1866,2.5065503,2.3145137,4.1604304,2.8894293,6.1590953,4.6728287,.69314718,0,11.297045,11.31901,13.890926,13.891262,66,65,1.0986123,6.4377518,.2529999949038029,.0616666666666667,.1205,64.09911918640137,3,80583.11661529541,12.26255512237549,2,1078332.5,.58319771,473,625,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.25655326
4,"Adams, Freeman E.",1867,2.7422726,2.5065503,4.4308167,4.1604304,6.4377518,6.1590953,1.0986123,.69314718,11.333413,11.297045,13.890308,13.890926,67,66,1.3862944,6.4377518,.3249999992549419,.0666666666666667,.1205,84.00000095367432,4,83567.78325653076,15.5222225189209,3,1077666.3,.63302565,625,625,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.31732351
4,"Adams, Freeman E.",1868,2.7422726,2.7422726,4.4308167,4.4308167,6.4377518,6.4377518,1.3862944,1.0986123,11.310284,11.333413,13.889392,13.890308,68,67,1.3862944,6.4377518,.3249999992549419,.0666666666666667,.1205,84.00000095367432,4,81657.03327941895,15.5222225189209,4,1076679.3,.58157986,625,625,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.32706615
4,"Adams, Freeman E.",1869,3.0497139,2.7422726,4.5108595,4.4308167,6.4377518,6.4377518,1.6094379,1.3862944,11.295695,11.310284,13.888688,13.889392,69,68,1.3862944,6.4377518,.4275000058114529,.1254166666666667,.1205,91.00000190734863,4,80474.44995880127,21.10930442810059,5,1075921.8,.75253654,625,625,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.029765079
4,"Adams, Freeman E.",1870,2.9038758,3.0497139,4.5108595,4.5108595,6.4377518,6.4377518,1.7917595,1.6094379,11.247721,11.295695,13.888362,13.888688,70,69,1.3862944,6.2499752,.3400000063702464,.1791666666666667,.1205,91.00000190734863,4,76704.8666305542,18.24472236633301,6,1075570.9,.52170587,625,518,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.18862391
4,"Adams, Freeman E.",1871,1.8005632,2.9038758,4.2484951,4.5108595,6.2499752,6.4377518,1.9459101,1.7917595,11.097065,11.247721,13.888494,13.888362,71,70,1.0986123,5.0238805,.0650000004097819,.1741666666666667,.1205,70,3,65977.19995880127,6.053055763244629,7,1075712.3,.23144615,518,152,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-1.1169472
4,"Adams, Freeman E.",1872,1.0015506,1.8005632,3.1780539,4.2484951,5.0238805,6.2499752,2.0794415,1.9459101,10.825562,11.097065,13.889244,13.888494,72,71,0,,.0149999996647239,.1125,0,24,1,50290.03326416016,2.722499847412109,8,1076519.6,.076910414,152,0,1,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.67432773
5,"Adams, John",1850,1.4215007,,3.5142422,,5.3099165,,0,,12.153888,,13.966244,,50,49,.69314718,5.3099165,.0900000026449561,.01,0,33.59046173095703,2,189830.6666183472,4.143333435058594,1,1162686.8,.1317064,202.3333358764648,202.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.50776631
5,"Adams, John",1851,1.4215007,1.4215007,3.5254881,3.5142422,5.3099165,5.3099165,.69314718,0,12.250927,12.153888,13.958548,13.966244,51,50,.69314718,4.6475911,.0900000026449561,.01,0,33.9703540802002,2,209175.0332870483,4.143333435058594,2,1153772,.13810526,202.3333358764648,104.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.4872587
5,"Adams, John",1852,2.1994443,1.4215007,2.8527389,3.5254881,4.6475911,5.3099165,1.0986123,.69314718,12.285057,12.250927,13.949748,13.958548,52,51,0,4.6475911,.2049999982118607,0,0,17.33519554138184,1,216437.4499206543,9.019999504089355,3,1143664.4,.29427749,104.3333358764648,104.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.99771607
5,"Adams, John",1853,2.3694959,2.1994443,2.8586717,2.8527389,4.6475911,4.6475911,1.3862944,1.0986123,12.326688,12.285057,13.941074,13.949748,53,52,0,4.6475911,.2430000007152557,0,0,17.43834686279297,1,225638.1165618896,10.69200038909912,4,1133787.4,.35164529,104.3333358764648,104.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,1.189379
5,"Adams, John",1854,1.9390295,2.3694959,2.8617942,2.8586717,4.6475911,4.6475911,1.6094379,1.3862944,12.296849,12.326688,13.932406,13.941074,54,53,0,4.6475911,.1580000072717667,0,0,17.49288558959961,1,219004.9499206543,6.952000141143799,5,1124002,.25243425,104.3333358764648,104.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.77730155
5,"Adams, John",1855,.78845739,1.9390295,2.8643754,2.8617942,4.6475911,4.6475911,1.7917595,1.6094379,12.276958,12.296849,13.924961,13.932406,55,54,0,4.6475911,.0500000007450581,0,0,17.53809547424316,1,214691.6999282837,2.200000047683716,6,1115665.3,.091764286,104.3333358764648,104.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.35892037
5,"Adams, John",1856,1.5256214,.78845739,2.877147,2.8643754,4.6475911,4.6475911,1.9459101,1.7917595,12.284708,12.276958,13.918493,13.924961,56,55,0,5.5696158,.1045000031590462,0,0,17.76351928710938,1,216361.9499053955,4.598000049591064,7,1108472,.18183,104.3333358764648,262.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.3902463
5,"Adams, John",1857,3.2167938,1.5256214,3.6515939,2.877147,5.5696158,4.6475911,2.0794415,1.9459101,12.268147,12.284708,13.912344,13.918493,57,56,.69314718,5.5696158,.5670000165700912,0,0,38.53604316711426,2,212808.3665618896,24.94799995422363,8,1101677,.753618,262.3333358764648,262.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,1.1371645
5,"Adams, John",1858,2.0210176,3.2167938,3.6715231,3.6515939,5.5696158,5.5696158,2.1972246,2.0794415,12.191801,12.268147,13.9066,13.912344,58,57,.69314718,5.5696158,.1715000048279762,0,0,39.31173706054688,2,197166.0332565308,7.546000003814697,9,1095366.6,.23145905,262.3333358764648,262.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.053030845
5,"Adams, John",1859,2.0206938,2.0210176,3.6733761,3.6715231,5.5696158,5.5696158,2.3025851,2.1972246,12.144669,12.191801,13.901892,13.9066,59,58,.69314718,4.6475911,.1686666719615459,.0066666666666667,0,39.3846492767334,2,188088.6999053955,7.543556213378906,10,1090221.4,.25030401,262.3333358764648,104.33334,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.050264124
6,"Adams, Zenas L.",1848,3.0895412,,3.3777177,,5.8735251,,0,,12.291662,,13.981936,,48,47,0,5.8735251,.0242500007152557,.603,9.5,29.3038158416748,1,217871.8332824707,21.96699905395508,1,1181074.4,2.940511,355.5,355.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.54987085
6,"Adams, Zenas L.",1849,3.0895412,3.0895412,3.3777177,3.3777177,5.8735251,5.8735251,.69314718,0,12.200253,12.291662,13.973796,13.981936,49,48,0,6.1452579,.0242500007152557,.603,9.5,29.3038158416748,1,198839.4166183472,21.96699905395508,2,1171500.5,3.8140857,355.5,466.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.56356412
6,"Adams, Zenas L.",1850,3.1113353,3.0895412,3.85741,3.3777177,6.1452579,5.8735251,1.0986123,.69314718,12.153888,12.200253,13.966244,13.973796,50,49,.69314718,6.7621512,.0352500006556511,.603,9.5,47.34257698059082,2,189830.6666183472,22.45100021362305,3,1162686.8,4.1836791,466.5,864.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.31775808
6,"Adams, Zenas L.",1851,3.778029,3.1113353,4.3442521,3.85741,6.7621512,6.1452579,1.3862944,1.0986123,12.250927,12.153888,13.958548,13.966244,51,50,1.0986123,6.9893351,.4205249883234501,.7323333333333333,11.46666666666667,77.03438568115234,3,209175.0332870483,43.72976684570313,4,1153772,5.5946298,864.5,1085,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.36667287
6,"Adams, Zenas L.",1852,4.0193143,3.778029,4.4659142,4.3442521,6.9893351,6.7621512,1.6094379,1.3862944,12.285057,12.250927,13.949748,13.958548,52,51,1.0986123,6.9893351,.5933999940752983,.8616666666666667,13.43333333333333,87.00052261352539,3,216437.4499206543,55.66293334960938,5,1143664.4,9.4413805,1085,1085,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.39463294
6,"Adams, Zenas L.",1853,3.7679162,4.0193143,4.4681163,4.4659142,6.9893351,6.9893351,1.7917595,1.6094379,12.326688,12.285057,13.941074,13.949748,53,52,1.0986123,6.9893351,.551149994134903,.6183333333333334,8.654166666666665,87.19233703613281,3,225638.1165618896,43.28976440429688,6,1133787.4,4.6778779,1085,1085,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.16484612
6,"Adams, Zenas L.",1854,3.4312932,3.7679162,4.470314,4.4681163,6.9893351,6.9893351,1.9459101,1.7917595,12.296849,12.326688,13.932406,13.941074,54,53,1.0986123,7.1884127,.5088999937288463,.375,3.875,87.38415336608887,3,219004.9499206543,30.91659927368164,7,1124002,2.6847367,1085,1324,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.15338778
6,"Adams, Zenas L.",1855,3.5106735,3.4312932,4.7220759,4.470314,7.1884127,6.9893351,2.0794415,1.9459101,12.276958,12.296849,13.924961,13.932406,55,54,1.3862944,7.1884127,.5669500003568828,.3896,3.875,112.4013633728027,4,214691.6999282837,33.47080230712891,8,1115665.3,3.1442811,1324,1324,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.2656388
6,"Adams, Zenas L.",1856,3.5216877,3.5106735,4.7236338,4.7220759,7.1884127,7.1884127,2.1972246,2.0794415,12.284708,12.276958,13.918493,13.924961,56,55,1.3862944,7.1004395,.4572500174399465,.3561,6.2375,112.5765762329102,4,216361.9499053955,33.84149932861328,9,1108472,4.9854164,1324,1212.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.2426219
6,"Adams, Zenas L.",1857,3.52736,3.5216877,4.6876011,4.7236338,7.1004395,7.1884127,2.3025851,2.1972246,12.268147,12.284708,13.912344,13.918493,57,56,1.3862944,7.3353081,.3435000106692314,.3226,8.6,108.5923595428467,4,212808.3665618896,34.03400039672852,10,1101677,9.3189611,1212.5,1533.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.13618033
6,"Adams, Zenas L.",1858,3.8202322,3.52736,4.9187555,4.6876011,7.3353081,7.1004395,2.3978953,2.3025851,12.191801,12.268147,13.9066,13.912344,58,57,1.6094379,7.1804504,.6066999956965446,.3226,8.6,136.8322410583496,5,197166.0332565308,45.61479949951172,11,1095366.6,9.8620205,1533.5,1313.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.080740802
6,"Adams, Zenas L.",1859,3.8336463,3.8202322,4.7240624,4.9187555,7.1804504,7.3353081,2.4849067,2.3978953,12.144669,12.191801,13.901892,13.9066,59,58,1.3862944,7.1804504,.6207000017166138,.3165,8.6,112.6248817443848,4,188088.6999053955,46.23080062866211,12,1090221.4,9.2018137,1313.5,1313.5,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.095991768
