year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,pop_baleen,pop_sperm
1829,95.01638350612484,64.18998333333334,336.1294166666665,86958.7500076294,4180.7207,1176.8164,739.48474,1176.8164,5357.5371,352830.8010178966,1.0525293483184457e6
1830,100.8912667052355,96.12623333333337,360.9422499999999,103532.7499923706,4439.2158,1762.3143,794.07294,1762.3143,6201.5303,351196.89694529737,1.0462107581426838e6
1831,105.1607751182746,120.93005,303.5166666666667,124926.0833358765,4627.0742,2217.051,667.73669,2217.051,6844.125,348603.0942073848,1.0395348326184995e6
1832,115.4086833714973,142.7871083333333,367.0916666666666,146662.9999923706,5077.9819,2617.7637,807.60168,2617.7637,7695.7456,345296.27323750773,1.0326257396284613e6
1833,132.8869333965704,130.6364666666667,368.1133333333332,166187.3332672119,5847.0249,2395.002,809.8493,2395.002,8242.0273,341384.81852546806,1.0250352187347187e6
1834,137.3316833199933,109.7339,313.9201666666667,164817.5832748413,6042.5942,2011.7882,690.62439,2011.7882,8054.3823,337947.08376215183,1.0162263180235943e6
1835,138.9934666789486,123.6302333333333,317.1456666666667,175801.9166183472,6115.7124,2266.5542,697.72046,2266.5542,8382.2666,335243.9557745418,1.0071928672432449e6
1836,133.8421916528023,155.9870249999999,301.3599166666667,182504.5832824707,5889.0566,2859.7622,662.99182,2859.7622,8748.8184,332166.0703163012,998144.468358365
1837,125.5595500012569,173.0336333333333,252.17375,182360.5832901001,5524.6201,3172.2832,554.78223,3172.2832,8696.9033,328141.56271670916,989591.2970307232
1838,122.6971500664949,176.6786499999999,162.1117333333333,178511.2499465942,5398.6748,3239.1086,356.64581,3239.1086,8637.7832,323668.73520507454,981760.6643445317
1839,134.9670917391777,176.4133333333334,218.5603916666666,184335.9999389648,5938.5522,3234.2444,480.83286,3234.2444,9172.7969,319173.9908606823,974234.3171986352
1840,146.8785638283007,166.8948694444445,388.5364666666667,187759.6666030884,6462.6567,3059.7393,854.78021,3059.7393,9522.3965,314776.8621296482,965868.4113829056
1841,152.4068250905257,178.2953388888888,862.1358555555554,212778.166557312,6705.9004,3268.7478,1896.6989,3268.7478,9974.6484,310762.11031254136,956697.1469156481
1842,138.4798001919407,190.1479666666666,1330.395883333333,211481.3332748413,6093.1113,3486.0461,2926.8708,3486.0461,9579.1572,306463.71656663495,947207.0100245879
1843,120.3472443788778,224.6984583333332,1778.971658333333,216428.9999313354,5295.2788,4119.4717,3913.7375,4119.4717,9414.75,301869.6561371005,938862.4137863585
1844,112.9555045426823,257.477961111111,1998.95226111111,234745.9999313354,4970.042,4720.4292,4397.6948,4720.4292,9690.4707,296270.09355661436,931965.6668733648
1845,109.4211812317371,266.9693857142857,1991.209852777777,252142.6666030884,4814.5317,4894.439,4380.6616,4894.439,9708.9707,289732.7149351665,925692.4961033928
1846,99.90007160860114,245.0186412698412,1829.558653174603,239122.3332901001,4395.603,4492.0083,4025.0291,4492.0083,8887.6113,282995.9790127367,919745.2905263432
1847,96.00042160716839,239.1985333333333,1930.00031468254,235254.0832748413,4224.0186,4385.3066,4246.0005,4385.3066,8609.3252,277041.1460335697,914570.2504231901
1848,92.07694672001526,213.7935476190473,1844.641387301587,218640.8332824707,4051.3857,3919.5483,4058.2109,4058.2109,8109.5967,271345.40047434537,909736.2835540436
1849,83.26012994977646,191.6869226190473,1847.239337301588,201099.9166183472,3663.4458,3514.2603,4063.9265,4063.9265,7727.3721,266276.8524437136,905241.2959428665
1850,78.97445039323065,175.6228660714286,1982.306574801586,190754.6666183472,3474.8757,3219.7524,4361.0747,4361.0747,7835.9502,261254.49358426695,901449.7479606814
1851,76.16090748517308,192.8540047619048,2386.754220634921,210271.0332870483,3351.0798,3535.6567,5250.8594,5250.8594,8601.9395,255775.38299304346,898013.9655564281
1852,74.20504310913384,192.6651452380953,2376.045871825394,217856.7832641602,3265.022,3532.1943,5227.3008,5227.3008,8492.3223,248826.1870457518,894819.678853133
1853,71.99614291242324,195.8523666666667,2414.954953571427,224111.4499053955,3167.8303,3590.6267,5312.9009,5312.9009,8480.7314,241975.68778888372,891799.9368294515
1854,69.37739653908648,182.2217464285714,2102.983195238095,218272.1999206543,3052.6055,3340.7319,4626.563,4626.563,7679.1685,235028.98501756683,888971.9954014962
1855,71.74994629551657,164.3592547619049,1765.368953571428,214925.1999282837,3156.9976,3013.2529,3883.8118,3883.8118,7040.8096,229299.36958737762,886364.8127494056
1856,75.58787748531904,165.0954976190475,1594.123245238094,217600.9499053955,3325.8667,3026.7507,3507.071,3507.071,6832.9375,224870.1281366924,883600.7760949621
1857,75.11108463740675,161.0821369047619,1485.291049999999,214703.366569519,3304.8877,2953.1726,3267.6404,3267.6404,6572.5283,221105.09744383316,880570.7067793229
1858,68.8461504515144,143.8187929487179,1310.357450091575,197425.2832565308,3029.2307,2636.678,2882.7864,2882.7864,5912.0171,217764.157381595,877601.1663120395
