year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch
1817,23.89325007656589,17.63883333333333,7,21556.33331298828,1051.303,323.3786,15.4,323.3786,1374.6816
1818,29.25329151423648,25.92154166666666,7,29957.58332824707,1287.1448,475.22827,15.4,475.22827,1762.373
1819,36.76691667642444,33.99575000000002,9.055833333333334,38506.49998474121,1617.7444,623.25543,19.922832,623.25543,2240.9998
1820,45.96995830768719,30.466,19.46916666666667,47976.49998474121,2022.6782,558.54333,42.832165,558.54333,2581.2217
1821,60.65320815099403,31.49783333333333,17.91066666666667,60102.66667175293,2668.7412,577.46027,39.403465,577.46027,3246.2014
1822,70.11924975644797,40.41316666666667,31.20233333333333,66837.33334350586,3085.2471,740.90808,68.645134,740.90808,3826.1553
1823,68.03233310719952,45.40091666666668,49.398,63016.00001525879,2993.4226,832.35016,108.6756,832.35016,3825.7727
1824,60.02916666073725,44.10141666666667,89.72108333333334,56083.83334350586,2641.2834,808.526,197.38638,808.526,3449.8096
1825,65.99146647192538,32.85129166666667,136.0973333333334,53452.66667175293,2903.6245,602.27368,299.41412,602.27368,3505.8982
1826,66.27207465562969,30.876,145.617,52504.33332824707,2915.9712,566.06,320.35739,566.06,3482.0313
1827,80.53811626182869,40.10775,180.43025,63641.91668701172,3543.677,735.30878,396.94656,735.30878,4278.9858
1828,94.55544993560761,51.65353333333333,270.8485000000001,80096.91667938232,4160.4399,946.98145,595.8667,946.98145,5107.4214
1829,95.01638350612484,64.18998333333333,336.1294166666667,85831.75000762939,4180.7207,1176.8164,739.48474,1176.8164,5357.5371
1830,100.9059333705809,96.15573333333332,359.4549166666667,103202.4999923706,4439.8608,1762.8551,790.80084,1762.8551,6202.7158
1831,105.1607751182746,120.93005,303.5166666666667,121663.0833358765,4627.0742,2217.051,667.73669,2217.051,6844.125
1832,115.4850167043041,142.8216916666667,367.0916666666666,144387.9999923706,5081.3408,2618.3977,807.60168,2618.3977,7699.7383
1833,134.5562167679891,133.88305,376.8633333333332,165454.4999237061,5920.4736,2454.5227,829.0993,2454.5227,8374.9961
1834,137.3421000074595,109.4893166666666,313.9201666666667,164445.9166183472,6043.0522,2007.3042,690.62439,2007.3042,8050.3564
1835,137.4328833370819,122.5510666666667,313.879,171019.0832748413,6047.0469,2246.7695,690.53381,2246.7695,8293.8164
1836,134.3953916751198,155.7020249999999,303.19325,181687.2499313354,5913.3975,2854.5371,667.02515,2854.5371,8767.9346
1837,125.9914499977313,172.3382166666665,248.1737499999999,181892.5832901001,5543.624,3159.5339,545.98224,3159.5339,8703.1582
1838,122.0661666616797,176.6522000000001,162.1117333333333,176653.2499465942,5370.9111,3238.6238,356.64581,3238.6238,8609.5352
1839,135.4459250662476,179.07525,218.5603916666666,184274.9999389648,5959.6206,3283.0461,480.83286,3283.0461,9242.667
1840,146.4036971810274,166.9577027777777,388.5364666666667,186955.6666030884,6441.7627,3060.8911,854.78021,3060.8911,9502.6543
1841,153.1306000750046,178.4675055555555,861.9790222222223,212832.666557312,6737.7466,3271.9043,1896.3539,3271.9043,10009.65
1842,139.0604002235923,190.7439333333332,1332.589216666667,211766.3332748413,6118.6577,3496.9722,2931.6963,3496.9722,9615.6299
1843,120.412227696972,223.7382083333331,1771.635824999999,215254.9999313354,5298.1382,4101.8672,3897.5989,4101.8672,9400.0059
1844,112.8715045382269,257.4192111111113,1998.45226111111,233775.9999313354,4966.3462,4719.3521,4396.5952,4719.3521,9685.6982
1845,109.6036812281236,266.7060523809523,1989.334852777778,252315.1666030884,4822.562,4889.6108,4376.5366,4889.6108,9712.1729
1846,99.90340494248085,245.0311412698411,1829.558653174601,238290.3332901001,4395.75,4492.2378,4025.0291,4492.2378,8887.9883
1847,95.98708827444352,238.5735333333332,1925.666981349207,233890.5832748413,4223.4316,4373.8481,4236.4673,4373.8481,8597.2793
1848,92.20481338026002,213.1508809523808,1841.308053968253,217871.8332824707,4057.0117,3907.7661,4050.8777,4050.8777,8107.8896
1849,83.25608828547411,191.8107559523808,1846.976837301587,198839.4166183472,3663.2678,3516.5305,4063.3491,4063.3491,7726.6172
1850,78.9557003924856,175.0196160714285,1972.119074801587,189830.6666183472,3474.0508,3208.6929,4338.6621,4338.6621,7812.7129
1851,76.16090748517308,192.8600047619047,2386.754220634922,209175.0332870483,3351.0798,3535.7668,5250.8594,5250.8594,8601.9395
1852,74.72305977717042,193.3631869047618,2384.407121825394,216437.4499206543,3287.8147,3544.9917,5245.6958,5245.6958,8533.5107
1853,73.02702626562677,197.3029976190475,2433.025542857142,225638.1165618896,3213.1892,3617.2217,5352.6563,5352.6563,8565.8457
1854,69.76129652117379,183.2869880952378,2114.312320238095,219004.9499206543,3069.4971,3360.2615,4651.4873,4651.4873,7720.9844
1855,72.02537963655777,164.9702047619047,1771.928253571427,214691.6999282837,3169.1167,3024.4539,3898.2422,3898.2422,7067.3589
1856,75.83051080384757,164.8558642857142,1592.880745238095,216361.9499053955,3336.5425,3022.3574,3504.3376,3504.3376,6840.8799
1857,74.73177629819838,160.1601535714287,1474.146624999999,212808.3665618896,3288.1982,2936.2695,3243.1226,3243.1226,6531.3208
1858,68.58815045858501,143.6832929487182,1310.357450091575,197166.0332565308,3017.8787,2634.1936,2882.7864,2882.7864,5900.665
1859,69.04599517327733,127.5128530677655,1170.750166758241,188088.6999053955,3038.0237,2337.7356,2575.6504,2575.6504,5613.6738
1860,65.64403980178759,100.8802399725274,942.5043131868129,171358.1165924072,2888.3376,1849.4711,2073.5095,2073.5095,4961.8472
1861,60.33774693775922,77.08381199633706,712.9645631868132,146962.1998901367,2654.8608,1413.2032,1568.5221,1568.5221,4223.3828
1862,52.22256363602355,55.64192866300367,535.2631048534802,115076.4499130249,2297.7927,1020.1021,1177.5789,1177.5789,3475.3716
1863,44.31607787590474,53.21692152014651,566.8669417582418,97593.44989013672,1949.9075,975.64355,1247.1073,1247.1073,3197.0146
1864,35.12783840252087,58.25318580586081,658.9871274725275,84793.94992828369,1545.6249,1067.9751,1449.7717,1449.7717,2995.3965
1865,33.92138527869247,67.49918223443228,762.7073667582415,82372.69993591309,1492.5409,1237.485,1677.9562,1677.9562,3170.4971
1866,37.35932186851278,68.62455961538457,770.9125369963367,80583.11661529541,1643.8102,1258.1169,1696.0076,1696.0076,3339.8179
1867,43.87683819234371,64.17190961538461,719.7038036630038,83567.78325653076,1930.5809,1176.485,1583.3484,1583.3484,3513.9292
1868,46.63474926026538,58.87323461538462,618.1065869963372,81657.03327941895,2051.929,1079.3427,1359.8345,1359.8345,3411.7634
